FIRST_TERM,COUNT,EXAMPLE,Preamble?,EXAMPLE_LOCATION
str,3445,strFileA,,projects/xbmc/lib/win32/Effects11/EffectAPI.cpp
gl,1804,glSource,,projects/xbmc/xbmc/utils/GLUtils.cpp
key,801,keyStr,N,projects/xbmc/xbmc/utils/EGLImage.cpp
swig,722,swigType,,projects/xbmc/xbmc/interfaces/python/swig.h
Curl,684,Curl_cookie_loadfiles,,projects/curl/lib/cookie.c
buffer,495,bufferSize,N,projects/xbmc/lib/win32/Effects11/d3dxGlobal.cpp
metadata,468,metadataException,N,projects/PowerShell/src/System.Management.Automation/engine/GetCommandCommand.cs
token,434,tokenUserInfo,N,projects/PowerShell/src/Microsoft.PowerShell.Commands.Management/commands/management/Process.cs
string,415,stringIter,N,projects/xbmc/lib/win32/Effects11/EffectNonRuntime.cpp
BM,401,BMFontUtil,N,projects/libgdx/extensions/gdx-tools/src/com/badlogic/gdx/tools/hiero/BMFontUtil.java
ps,388,psType,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
PS,388,PSSamplers,,projects/xbmc/lib/win32/Effects11/inc/d3dx11effect.h
cache,376,cacheJob,N,projects/xbmc/xbmc/TextureCache.cpp
body,372,bodyChr,N,projects/xbmc/xbmc/network/AirPlayServer.cpp
hash,362,hashGen,N,projects/xbmc/xbmc/guilib/GUIFontCache.cpp
header,338,headerLine,N,projects/xbmc/xbmc/utils/HttpHeader.cpp
pos,301,posT,,projects/xbmc/xbmc/XBDateTime.cpp
SWIG,301,SWIG_JavaThrowException,,projects/libgdx/extensions/gdx-bullet/jni/swig-src/inversedynamics/inversedynamics_wrap.cpp
bytes,271,bytesRead,N,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
byte,222,byteArray,N,projects/xbmc/xbmc/platform/win32/input/IrssMessage.cpp
raw,221,rawMac,N,projects/xbmc/xbmc/platform/linux/network/NetworkLinux.cpp
BN,215,BN_to_ASN1_INTEGER,,projects/openssl/crypto/asn1/a_int.c
BIO,214,BIO_snprintf,,projects/openssl/providers/fips/fipsprov.c
node,190,nodeEvents,N,projects/xbmc/xbmc/cores/AudioEngine/Sinks/pipewire/PipewireNode.cpp
pp,189,ppPointer,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
op,170,opWeight,,projects/xbmc/xbmc/utils/FileOperationJob.cpp
pool,170,poolException,N,projects/PowerShell/src/System.Management.Automation/engine/hostifaces/PowerShell.cs
EC,168,ECDsaOid,,projects/aspnetcore/src/Servers/Kestrel/Core/src/Internal/Certificates/CertificateConfigLoader.cs
pad,162,padLen,N,projects/xbmc/lib/libUPnP/Neptune/ThirdParty/axTLS/crypto/md5.c
headers,153,headersNodeFound,N,projects/PowerShell/src/System.Management.Automation/FormatAndOutput/common/DisplayDatabase/typeDataXmlLoader_Table.cs
char,150,charCode,,projects/xbmc/xbmc/utils/LangCodeExpander.cpp
int,148,intValue,,projects/xbmc/lib/libUPnP/Platinum/Source/Devices/MediaServer/PltMediaItem.cpp
Swig,148,SwigValueInit,,projects/libgdx/extensions/gdx-bullet/jni/swig-src/inversedynamics/inversedynamics_wrap.cpp
var,146,varSize,N,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
Cache,140,CacheImage,N,projects/xbmc/xbmc/TextureCache.cpp
Key,136,KeyRepeatTimeout,N,projects/xbmc/xbmc/platform/linux/input/LibInputKeyboard.cpp
block,133,blockType,N,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
TS,128,TSErrorDisabledTask,,projects/PowerShell/src/Microsoft.PowerShell.ScheduledJob/ScheduledJobDefinition.cs
ENGINE,124,ENGINE_init,,projects/openssl/crypto/engine/eng_init.c
cl,117,clRect,,projects/xbmc/xbmc/rendering/dx/RenderSystemDX.cpp
HEADERS,99,HEADERS_Received_ContainsExpect100Continue_100ContinueSent,,projects/aspnetcore/src/Servers/Kestrel/test/InMemory.FunctionalTests/Http3/Http3ConnectionTests.cs
Hash,97,HashWithNormalizedCasing,N,projects/azure-functions-core-tools/src/Azure.Functions.Cli/Telemetry/Sha256Hasher.cs
CA,90,CAChannelLabel,,projects/xbmc/xbmc/cores/AudioEngine/Sinks/osx/AEDeviceEnumerationOSX.cpp
Node,90,NodeType,,projects/xbmc/xbmc/filesystem/MusicDatabaseDirectory/QueryParams.cpp
Byte,86,ByteCount,N,projects/xbmc/xbmc/pictures/ExifParse.cpp
Object,84,ObjectType,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
BT,84,BT_USE_NAME,,projects/xbmc/tools/EventClients/lib/java/src/org/xbmc/eventclient/PacketBUTTON.java
obj,81,objIter,,projects/xbmc/xbmc/platform/linux/storage/UDisks2Provider.cpp
ERR,77,ERR_new,,projects/openssl/providers/legacyprov.c
db,74,dbUrl,N,projects/xbmc/xbmc/DbUrl.cpp
null,73,nullListener,N,projects/xbmc/xbmc/cores/VideoPlayer/DVDCodecs/Video/DVDVideoCodecAndroidMediaCodec.cpp
KEY,67,KEY_EVENT_RECORDToKeyInfo,,projects/PowerShell/src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleHostRawUserInterface.cs
Long,66,LongTag,,projects/PowerShell/src/System.Management.Automation/engine/SerializationStrings.cs
pi,63,piAttribList,,projects/libgdx/extensions/gdx-bullet/jni/vs/Glut/GL/wglew.h
err,61,errMsg,,projects/xbmc/xbmc/utils/RegExp.cpp
DH,61,DH_meth_new,,projects/openssl/crypto/dh/dh_meth.c
Int,59,IntTest,,projects/xbmc/lib/libUPnP/Neptune/Source/Tests/Strings1/StringsTest1.cpp
rs,58,rsAccessRights,,projects/xbmc/xbmc/platform/win32/WIN32Util.h
std,56,stdConvert,,projects/xbmc/xbmc/utils/CharsetConverter.cpp
Vector,55,VectorToCardinalDirection,,projects/xbmc/xbmc/input/InputTranslator.cpp
Arg,55,ArgApiVersion,,projects/azure-functions-core-tools/src/Azure.Functions.Cli/Arm/ArmUriTemplates.cs
ss,55,ssInfo,,projects/PowerShell/test/xUnit/csharp/test_Subsystem.cs
pf,52,pfResult,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Management/commands/management/TimeZoneCommands.cs
SC,51,SC_MANAGER_CONNECT,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Management/commands/management/Service.cs
chunk,44,chunkSize,N,projects/xbmc/xbmc/utils/Archive.cpp
Char,44,CharVecBuffer,,projects/xbmc/xbmc/platform/android/media/drm/MediaDrmCryptoSession.cpp
os,40,osVerInfo,,projects/xbmc/xbmc/utils/SystemInfo.cpp
Bytes,35,BytesRead,,projects/xbmc/lib/win32/Effects11/EffectAPI.cpp
Bit,34,BitstreamConvertInitAVC,,projects/xbmc/xbmc/utils/BitstreamConverter.cpp
Boolean,34,BooleanBoxes,,projects/PowerShell/src/Microsoft.Management.UI.Internal/ManagementList/Common/BooleanBoxes.cs
arr,33,arrArgs,,projects/xbmc/xbmc/Util.cpp
IOS,33,IOSRobovmTests,,projects/libgdx/tests/gdx-tests-iosrobovm/src/com/badlogic/gdx/tests/IOSRobovmTests.java
sb,31,sbError,,projects/azure-functions-core-tools/src/Azure.Functions.Cli/Kubernetes/KubectlHelper.cs
tr,31,trTmp,,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/g3d/Animation3DTest.java
Str,30,StrInput,,projects/xbmc/xbmc/Util.cpp
tuple,30,_tupleToGroupInfoMappingDictionary,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Utility/commands/utility/Group-Object.cs
OBJ,30,OBJ_new_nid,,projects/openssl/crypto/objects/obj_dat.c
CB,29,CBDesc,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
bit,29,bitRate,,projects/xbmc/xbmc/cores/AudioEngine/Utils/AEStreamInfo.cpp
chars,29,charsReaded,,projects/PowerShell/src/Microsoft.PowerShell.ConsoleHost/host/msh/ConsoleControl.cs
Integer,29,IntegerTypeValidationCallback,,projects/PowerShell/src/System.Management.Automation/engine/remoting/fanin/InitialSessionStateProvider.cs
swap,28,swapList,,projects/xbmc/xbmc/GUIInfoManager.cpp
IO,28,IO_REPARSE_TAG_SYMLINK,,projects/PowerShell/src/System.Management.Automation/namespaces/FileSystemProvider.cs
GPU,27,GPU_ATTRIBUTES,,projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/batches/BillboardParticleBatch.java
MD,25,MD2_Init,,projects/xbmc/lib/libUPnP/Neptune/ThirdParty/axTLS/crypto/md2.c
CONF,25,CONF_set_default_method,,projects/openssl/crypto/conf/conf_lib.c
CT,25,CTLOG_new_from_base64_ex,,projects/openssl/crypto/ct/ct_b64.c
bi,23,biR,,projects/xbmc/lib/libUPnP/Neptune/ThirdParty/axTLS/crypto/bigint.c
GL,23,GLProfilerErrorTest,,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/GLProfilerErrorTest.java
glut,23,glutSwapBuffers,,projects/libgdx/extensions/gdx-bullet/jni/vs/Glut/EmptyGL/GL/glut.h
Db,23,DbExceptions_HandlingFails_InvokesNextFilter,,projects/aspnetcore/src/Middleware/Diagnostics.EntityFrameworkCore/test/UnitTests/DatabaseDeveloperPageExceptionFilterTests.cs
pc,21,pcAnnotations,,projects/xbmc/lib/win32/Effects11/EffectLoad.cpp
ch,21,chCode,,projects/xbmc/xbmc/utils/RegExp.cpp
keys,21,keysSecretCollectionName,N,projects/azure-functions-core-tools/src/Azure.Functions.Cli/Kubernetes/KubernetesHelpers.cs
Va,20,VaErrorCallback,,projects/xbmc/xbmc/cores/VideoPlayer/DVDCodecs/Video/VAAPI.cpp
dict,19,dictLength,N,projects/xbmc/lib/libUPnP/Neptune/ThirdParty/zlib-1.2.8/inflate.c
Raw,19,RawNumber,N,projects/xbmc/xbmc/utils/JSONVariantParser.cpp
vector,19,vectorView,,projects/xbmc/xbmc/platform/win10/filesystem/WinLibraryDirectory.cpp
AE,19,AEChannelToALSAChannel,,projects/xbmc/xbmc/cores/AudioEngine/Sinks/AESinkALSA.cpp
Hex,19,Hex2Str,N,projects/xbmc/xbmc/cores/VideoPlayer/VideoPlayerTeletext.cpp
mi,19,miXmlBytes,,projects/PowerShell/src/System.Management.Automation/engine/serialization.cs
hex,18,hexValue,N,projects/xbmc/xbmc/utils/XMLUtils.cpp
VA,18,VAAPIRegister,,projects/xbmc/xbmc/windowing/X11/OptionalsReg.cpp
Chunk,18,ChunkSize,N,projects/PowerShell/src/Microsoft.PowerShell.Commands.Utility/commands/utility/WebCmdlet/StreamHelper.cs
ca,17,caData,N,projects/xbmc/lib/libUPnP/Platinum/Source/Extras/PltMetadataHandler.h
OS,17,OSPowerCallBack,,projects/xbmc/xbmc/platform/darwin/osx/powermanagement/CocoaPowerSyscall.cpp
arrays,17,arraysAtMid,N,projects/tensorflow/tensorflow/compiler/xla/mlir_hlo/lib/Dialect/mhlo/transforms/legalize_sort.cc
CS,16,CSSamplers,N,projects/xbmc/lib/win32/Effects11/inc/d3dx11effect.h
RC,16,RCGenerateHashFromFile,,projects/xbmc/xbmc/games/addons/cheevos/GameClientCheevos.cpp
pkt,16,pktInfo,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Utility/commands/utility/CustomSerialization.cs
ssh,16,sshConnectionInfo,N,projects/PowerShell/src/System.Management.Automation/engine/hostifaces/HostUtilities.cs
maven,16,mavenTextField,N,projects/libgdx/extensions/gdx-setup/src/com/badlogic/gdx/setup/SettingsDialog.java
asp,16,aspNetProcess,N,projects/aspnetcore/src/ProjectTemplates/test/Templates.Blazor.Tests/BlazorWasmTemplateTest.cs
hr,16,hrError,,projects/aspnetcore/src/Servers/IIS/AspNetCoreModuleV2/OutOfProcessRequestHandler/websockethandler.cpp
CF,15,CFHashNullVersion,,projects/xbmc/xbmc/platform/darwin/network/ZeroconfDarwin.cpp
Io,15,IoControl,N,projects/xbmc/xbmc/platform/darwin/tvos/filesystem/TVOSFile.cpp
ts,15,tsLocalUs,,projects/xbmc/xbmc/cores/VideoPlayer/DVDSubtitles/webvtt/WebVTTHandler.cpp
cos,15,cosRotation,N,projects/libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/batches/BillboardParticleBatch.java
SSE,14,SSEMulArray,,projects/xbmc/xbmc/cores/AudioEngine/Utils/AEUtil.cpp
Decimal,14,DecimalTag,N,projects/PowerShell/src/System.Management.Automation/engine/SerializationStrings.cs
Tuple,14,TupleCreator,N,projects/PowerShell/src/System.Management.Automation/engine/runtime/MutableTuple.cs
HASH,14,HASH_ARRAY,N,projects/libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/BinTree.java
COMP,14,COMP_CTX_new,,projects/openssl/crypto/comp/comp_lib.c
AL,13,ALChannelSource,,projects/libgdx/backends/gdx-backend-robovm-metalangle/src/com/badlogic/gdx/backends/iosrobovm/objectal/ALChannelSource.java
Sip,13,SipHash_2_4_UlongCast_ForcedInline,,projects/aspnetcore/src/Middleware/Session/src/SipHash.cs
Sig,12,SigType,N,projects/xbmc/lib/win32/Effects11/Effect.h
pd,12,pd_PrintPage,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Utility/commands/utility/FormatAndOutput/out-printer/PrinterLineOutput.cs
csc,12,cscVal,,projects/tensorflow/tensorflow/core/util/rocm_sparse.cc
pkg,11,pkgRoot,N,projects/xbmc/xbmc/platform/android/activity/android_main.cpp
st,11,stLocalTime,,projects/xbmc/xbmc/platform/win32/threads/Win32Exception.cpp
pts,11,ptsStart,N,projects/xbmc/xbmc/cores/VideoPlayer/DVDInputStreams/DVDInputStream.h
PT,11,PT_HELO,,projects/xbmc/tools/EventClients/lib/java/src/org/xbmc/eventclient/Packet.java
PIPE,11,PIPE_ACCESS_DUPLEX,N,projects/PowerShell/src/System.Management.Automation/engine/remoting/common/RemoteSessionNamedPipe.cs
Bitmap,11,BitmapFontDistanceFieldTest,N,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/BitmapFontDistanceFieldTest.java
FLOAT,11,FLOAT_PROPERTY_NAME,N,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/TiledMapAssetManagerTest.java
VERTEX,11,VERTEX_SIZE,N,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/g3d/voxel/VoxelChunk.java
MS,10,MS_VC_EXCEPTION,N,projects/xbmc/xbmc/platform/win32/threads/ThreadImplWin.cpp
pt,10,ptStreamTye,,projects/xbmc/xbmc/cores/paplayer/VideoPlayerCodec.cpp
Std,10,StdOutputHandler,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Management/commands/management/Process.cs
SE,10,SE_SHUTDOWN_NAME,,projects/PowerShell/src/Microsoft.PowerShell.Commands.Management/commands/management/Computer.cs
dos,10,dosWildcard,N,projects/PowerShell/src/System.Management.Automation/engine/Modules/RemoteDiscoveryHelper.cs
MAP,10,MAP_ORTHO,,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/TiledMapLayerOffsetTest.java
cr,10,crAu,,projects/libgdx/extensions/gdx-box2d/gdx-box2d/jni/Box2D/Dynamics/Joints/b2DistanceJoint.cpp
Fp,10,FpValueToString,,projects/tensorflow/tensorflow/compiler/xla/literal_comparison.cc
MI,10,MIOpenHandle,N,projects/tensorflow/tensorflow/compiler/xla/stream_executor/rocm/rocm_dnn.cc
ae,9,aeChannel,N,projects/xbmc/xbmc/cores/AudioEngine/Sinks/AESinkALSA.cpp
XML,9,XMLToDVDState,N,projects/xbmc/xbmc/cores/VideoPlayer/DVDInputStreams/DVDStateSerializer.cpp
pm,9,pm_CSCMatrix,,projects/xbmc/xbmc/cores/VideoPlayer/DVDCodecs/Video/VDPAU.cpp
TYPE,9,TYPE_DOWNLOAD,N,projects/xbmc/xbmc/addons/AddonInstaller.cpp
fp,9,fpValue,N,projects/PowerShell/src/System.Management.Automation/engine/MinishellParameterBinderController.cs
LP,9,LPSecurityDescriptor,,projects/PowerShell/src/System.Management.Automation/engine/remoting/common/RemoteSessionNamedPipe.cs
Nodes,9,NodesSequenceOf,N,projects/tensorflow/tensorflow/compiler/mlir/tfr/integration/tfr_decompose_ctx_test.cc
OC,9,OCWriteIncreasing,,projects/tensorflow/tensorflow/core/lib/strings/ordered_code_test.cc
BF,9,BF16UnsupportedWarning,,projects/tensorflow/tensorflow/core/graph/mkl_graph_util.h
RS,8,RSViewports,,projects/xbmc/lib/win32/Effects11/inc/d3dx11effect.h
FF,8,FFReleaseBuffer,,projects/xbmc/xbmc/cores/VideoPlayer/DVDCodecs/Video/DXVA.cpp
sc,8,scDesc,,projects/xbmc/xbmc/rendering/dx/DeviceResources.cpp
NS,8,NS_XSI,,projects/PowerShell/src/Microsoft.WSMan.Management/ConfigProvider.cs
iv,8,ivA,,projects/libgdx/extensions/gdx-bullet/jni/src/bullet/BulletDynamics/ConstraintSolver/btConeTwistConstraint.cpp
mb,8,mbA,,projects/libgdx/extensions/gdx-bullet/jni/src/bullet/BulletDynamics/Featherstone/btMultiBodyConstraintSolver.cpp
Nd,8,NdtriGrad,,projects/tensorflow/tensorflow/cc/gradients/math_grad.cc
MB,8,MB_INPUT_SIZE,,projects/tensorflow/tensorflow/tools/android/test/src/org/tensorflow/demo/DetectorActivity.java
HS,7,HSSamplers,N,projects/xbmc/lib/win32/Effects11/inc/d3dx11effect.h
strings,7,stringsAreEqual,N,projects/xbmc/xbmc/platform/darwin/osx/powermanagement/CocoaPowerSyscall.cpp
bitmap,7,bitmapBuf,,projects/xbmc/xbmc/platform/android/filesystem/AndroidAppFile.cpp
Nr,7,NrVBlanks,,projects/xbmc/xbmc/cores/VideoPlayer/VideoReferenceClock.cpp
rt,7,rtFormat,,projects/xbmc/xbmc/cores/VideoPlayer/VideoRenderers/HwDecRender/VaapiEGL.cpp
PTS,7,PTSDuration,N,projects/xbmc/xbmc/cores/VideoPlayer/DVDSubtitles/DVDSubtitleParserVplayer.cpp
sd,7,sdRef,,projects/xbmc/xbmc/network/mdns/ZeroconfBrowserMDNS.cpp
nodes,7,nodesCompressed,,projects/PowerShell/src/Microsoft.PowerShell.ConsoleHost/host/msh/PendingProgress.cs
VT,7,VTCodes,,projects/PowerShell/src/System.Management.Automation/utils/VTUtils.cs
INT,7,INT_PROPERTY_NAME,,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/TiledMapAssetManagerTest.java
sq,7,sqDist,,projects/libgdx/extensions/gdx-bullet/jni/src/bullet/BulletCollision/NarrowPhaseCollision/btVoronoiSimplexSolver.cpp
PI,6,PICode,,projects/xbmc/xbmc/cores/VideoPlayer/VideoPlayerRadioRDS.cpp
Obj,6,ObjType,,projects/xbmc/xbmc/video/Teletext.h
ar,6,arByte,,projects/PowerShell/src/Microsoft.PowerShell.CoreCLR.Eventing/DotNetCode/Eventing/Reader/NativeWrapper.cs
cm,6,cmScreenLabel,,projects/libgdx/tests/gdx-tests/src/com/badlogic/gdx/tests/CoordinatesTest.java
acc,6,accAngle,,projects/libgdx/extensions/gdx-bullet/jni/src/bullet/BulletDynamics/ConstraintSolver/btHingeConstraint.cpp
pol,6,polP,,projects/tensorflow/tensorflow/compiler/xla/mlir_hlo/lib/Dialect/mhlo/transforms/chlo_legalize_to_hlo.cc
tbs,6,tbsCertList,,projects/aspnetcore/src/Servers/Kestrel/shared/test/CertificateAuthority.cs
